source,target,weight
1192,pam,1
1196,pam,1
1201,PressupostosParticipatius,3
1208,pam,18
1222,PressupostosParticipatius,2
1231,pam,1
1233,pam,1
1239,pam,1
1241,pam,1
1244,pam,1
1247,pam,1
1257,PressupostosParticipatius,1
1261,pam,5
1262,pam,4
1272,pam,1
1280,PressupostosParticipatius,2
1280,pam,1
1296,pam,1
1306,pam,1
1310,PressupostosParticipatius,3
1310,pam,14
1316,pam,2
1318,pam,4
1320,PressupostosParticipatius,4
1320,pam,21
1325,PressupostosParticipatius,2
1325,pam,1
1334,pam,1
1347,pam,1
1353,pam,1
1356,pam,2
1368,pam,1
1370,pam,1
1371,pam,2
1380,pam,1
1392,pam,1
1394,PAM2020,1
1401,pam,39
1408,pam,1
1416,pam,4
1426,pam,1
1433,PressupostosParticipatius,1
1433,meridiana,3
1433,xarxabus,17
1443,plausosciutatvella,1
1451,prova-pilot-pressupostos-participatius,3
1454,PAM2020,12
1454,PressupostosParticipatius,20
1454,pam,6
1458,pam,1
1460,pam,1
1465,pam,1
1465,xarxabus,6
1466,PressupostosParticipatius,1
1466,pam,6
1472,pam,1
1473,pam,2
1477,PressupostosParticipatius,5
1477,meridiana,5
1477,metadecidim,3
1477,pam,2
1477,plamobilitatBCN,4
1488,PressupostosParticipatius,1
1493,PressupostosParticipatius,2
1493,pam,10
1494,PressupostosParticipatius,3
1494,pam,2
1495,pam,1
1497,pam,6
1505,ordenancaconvivencia,2
1505,pam,3
1505,usostallermasriera,1
1513,PAM2020,2
1513,PressupostosParticipatius,3
1516,pam,1
1523,pam,3
1529,pam,1
1535,pam,1
1540,pam,1
1548,PAM2020,1
1548,PressupostosParticipatius,3
1548,xarxabus,2
1571,pam,1
1572,pam,2
1575,pam,4
1576,pam,1
1609,pam,20
1610,pam,1
1625,pam,1
1629,pam,3
1638,pam,6
1644,pam,9
1651,PressupostosParticipatius,1
1654,pam,16
1670,pam,1
1674,pam,2
1675,pam,1
1676,pam,1
1677,pam,1
1693,pam,1
1696,PressupostosParticipatius,1
1696,pam,22
1709,pam,1
1713,zonabaixesemissions,1
1716,PAM2020,1
1718,pam,1
1719,pam,4
1723,pam,3
1731,pam,5
1734,pam,1
1739,pam,1
1748,pam,1
1750,pam,1
1751,pam,11
1752,pam,1
1758,pam,1
1760,pam,2
1763,pam,2
1767,pam,3
