id,Label,modularity_class_str,modularity_class,frecuency
2073,,B,12,1
2067,,B,12,1
2052,,B,12,8
1306,,B,12,1
2076,,B,12,1
2075,,B,12,1
503,,B,12,3
536,,B,12,2
23679,,B,12,29
1670,,B,12,1
2116,,B,12,1
3725,,B,12,21
2109,,B,12,1
2078,,B,12,1
2162,,B,12,6
2166,,B,12,1
2177,,B,12,1
1261,,B,12,5
1949,,B,12,2
2138,,B,12,1
2178,,B,12,1
2089,,B,12,3
2193,,B,12,1
2196,,B,12,9
3026,,B,12,43
2187,,B,12,4
13876,,B,12,4
2051,,B,12,2
20100,,B,12,4
2244,,B,12,2
2183,,B,12,2
2237,,B,12,1
979,,B,12,29
2131,,B,12,10
1935,,B,12,4
16166,,B,12,4
2243,,B,12,1
2954,,B,12,1
2246,,B,12,1
2232,,B,12,2
2255,,B,12,1
14496,,B,12,16
2127,,A,14,9
2042,,B,12,2
2286,,B,12,4
2284,,B,12,1
2299,,B,12,9
2313,,B,12,1
963,,B,12,1
953,,B,12,1
2359,,B,12,1
3713,,B,12,1
2361,,B,12,1
2201,,B,12,2
609,,B,12,9
2382,,B,12,4
2389,,B,12,1
2399,,B,12,5
2274,,B,12,2
13501,,B,12,3
1033,,B,12,1
2416,,B,12,4
3910,,B,12,4
14179,,B,12,17
2426,,B,12,4
2943,,B,12,4
2431,,B,12,4
210,,B,12,1
2448,,B,12,4
1822,,B,12,1
2465,,A,14,9
2007,,B,12,18
2491,,A,14,4
2499,,B,12,1
10050,,B,12,2
2578,,B,12,2
2511,,B,12,3
2530,,B,12,1
5868,,B,12,8
2541,,B,12,1
2364,,B,12,4
2008,,B,12,1
496,,B,12,1
245,,B,12,2
4506,,B,12,3
2135,,B,12,2
2562,,B,12,1
2609,,B,12,1
2595,,B,12,1
2613,,B,12,3
2333,,B,12,1
2593,,B,12,10
5915,,B,12,3
2621,,B,12,3
1841,,B,12,1
2641,,B,12,2
2650,,B,12,1
2677,,B,12,1
2696,,B,12,2
2704,,A,14,6
11178,,B,12,20
2728,,B,12,1
2848,,B,12,3
2727,,B,12,2
19564,,B,12,17
2335,,B,12,2
2740,,B,12,1
2484,,B,12,48
11692,,B,12,4
2380,,B,12,2
2424,,B,12,1
1523,,B,12,3
2774,,B,12,14
2765,,B,12,1
2776,,B,12,1
1676,,B,12,1
11148,,B,12,2
22787,,A,14,6
2799,,B,12,2
635,,B,12,5
2772,,B,12,4
2208,,B,12,9
627,,B,12,8
2788,,B,12,1
2818,,B,12,1
2846,,B,12,1
2870,,B,12,15
3037,,B,12,9
13023,,B,12,4
2874,,B,12,2
2890,,B,12,1
2675,,B,12,3
4582,,B,12,2
983,,B,12,2
1110,,B,12,8
2958,,B,12,1
3873,,B,12,2
5159,,B,12,14
2867,,B,12,4
1318,,B,12,4
2895,,B,12,4
3464,,B,12,1
2901,,B,12,1
2915,,B,12,3
2906,,B,12,1
2694,,B,12,3
1371,,B,12,2
2946,,B,12,1
2881,,A,14,20
16011,,B,12,6
2965,,B,12,1
4089,,B,12,2
5908,,B,12,11
2969,,B,12,1
2797,,B,12,2
3007,,B,12,1
74,,B,12,8
3019,,B,12,1
95,,A,14,2
3035,,B,12,1
2960,,B,12,1
323,,B,12,3
3058,,B,12,1
16949,,B,12,2
1180,,B,12,1
3098,,B,12,5
3112,,B,12,12
5185,,B,12,9
3157,,B,12,2
3162,,B,12,2
3163,,B,12,3
3167,,B,12,1
3174,,B,12,1
3184,,B,12,1
3210,,B,12,1
926,,A,14,3
2777,,B,12,1
3216,,B,12,1
3160,,B,12,2
3029,,B,12,4
3266,,B,12,1
3239,,B,12,10
1426,,B,12,1
3289,,B,12,2
23141,,B,12,1
1113,,B,12,1
3320,,B,12,1
5242,,B,12,26
1609,,B,12,20
3339,,B,12,2
3340,,B,12,3
3381,,B,12,9
3178,,B,12,6
3302,,B,12,9
3395,,B,12,1
3419,,B,12,3
3447,,B,12,1
3437,,B,12,4
3449,,B,12,2
3423,,B,12,1
